Strategy,StoppingIteration,GradientStableIteration
Top5Similarity,100,97.0
Max Comp,100,32.0
Min Comp,37,30.0
Centroids_saturation_high,100,
Centroids_saturation_medium,100,
Centroids_saturation_low,100,
Random,83,70.0
LHS,100,
K-Means,100,
Farthest,65,33.0
ODAL,100,
K-Center,39,39.0
Top5Similarity+Max Comp,35,35.0
Top5Similarity+Min Comp,33,33.0
Top5Similarity+Centroids_saturation_high,73,73.0
Top5Similarity+Centroids_saturation_medium,71,71.0
Top5Similarity+Centroids_saturation_low,58,58.0
Top5Similarity+Random,67,67.0
Top5Similarity+LHS,71,71.0
Top5Similarity+K-Means,52,52.0
Top5Similarity+Farthest,100,97.0
Top5Similarity+ODAL,74,74.0
Top5Similarity+K-Center,45,45.0
Max Comp+Top5Similarity,35,35.0
Max Comp+Min Comp,40,30.0
Max Comp+Centroids_saturation_high,84,64.0
Max Comp+Centroids_saturation_medium,100,82.0
Max Comp+Centroids_saturation_low,100,
Max Comp+Random,100,42.0
Max Comp+LHS,100,62.0
Max Comp+K-Means,42,42.0
Max Comp+Farthest,100,58.0
Max Comp+ODAL,38,38.0
Max Comp+K-Center,60,48.0
Min Comp+Top5Similarity,33,33.0
Min Comp+Max Comp,40,30.0
Min Comp+Centroids_saturation_high,46,46.0
Min Comp+Centroids_saturation_medium,46,46.0
Min Comp+Centroids_saturation_low,100,
Min Comp+Random,42,42.0
Min Comp+LHS,41,41.0
Min Comp+K-Means,50,50.0
Min Comp+Farthest,37,37.0
Min Comp+ODAL,100,81.0
Min Comp+K-Center,40,40.0
Centroids_saturation_high+Top5Similarity,73,73.0
Centroids_saturation_high+Max Comp,84,64.0
Centroids_saturation_high+Min Comp,46,46.0
Centroids_saturation_high+Centroids_saturation_medium,100,
Centroids_saturation_high+Centroids_saturation_low,100,
Centroids_saturation_high+Random,86,86.0
Centroids_saturation_high+LHS,67,67.0
Centroids_saturation_high+K-Means,60,60.0
Centroids_saturation_high+Farthest,61,61.0
Centroids_saturation_high+ODAL,82,82.0
Centroids_saturation_high+K-Center,54,54.0
Centroids_saturation_medium+Top5Similarity,71,71.0
Centroids_saturation_medium+Max Comp,100,82.0
Centroids_saturation_medium+Min Comp,46,46.0
Centroids_saturation_medium+Centroids_saturation_high,100,
Centroids_saturation_medium+Centroids_saturation_low,100,
Centroids_saturation_medium+Random,69,69.0
Centroids_saturation_medium+LHS,62,62.0
Centroids_saturation_medium+K-Means,56,56.0
Centroids_saturation_medium+Farthest,63,63.0
Centroids_saturation_medium+ODAL,90,90.0
Centroids_saturation_medium+K-Center,63,63.0
Centroids_saturation_low+Top5Similarity,58,58.0
Centroids_saturation_low+Max Comp,100,
Centroids_saturation_low+Min Comp,100,
Centroids_saturation_low+Centroids_saturation_high,100,
Centroids_saturation_low+Centroids_saturation_medium,100,
Centroids_saturation_low+Random,100,
Centroids_saturation_low+LHS,68,68.0
Centroids_saturation_low+K-Means,100,
Centroids_saturation_low+Farthest,55,55.0
Centroids_saturation_low+ODAL,94,94.0
Centroids_saturation_low+K-Center,62,62.0
Random+Top5Similarity,67,67.0
Random+Max Comp,100,42.0
Random+Min Comp,42,42.0
Random+Centroids_saturation_high,86,86.0
Random+Centroids_saturation_medium,68,68.0
Random+Centroids_saturation_low,100,
Random+LHS,54,54.0
Random+K-Means,51,51.0
Random+Farthest,64,64.0
Random+ODAL,75,75.0
Random+K-Center,100,42.0
LHS+Top5Similarity,71,71.0
LHS+Max Comp,100,62.0
LHS+Min Comp,41,41.0
LHS+Centroids_saturation_high,67,67.0
LHS+Centroids_saturation_medium,62,62.0
LHS+Centroids_saturation_low,68,68.0
LHS+Random,54,54.0
LHS+K-Means,100,
LHS+Farthest,69,69.0
LHS+ODAL,100,96.0
LHS+K-Center,100,97.0
K-Means+Top5Similarity,52,52.0
K-Means+Max Comp,42,42.0
K-Means+Min Comp,50,50.0
K-Means+Centroids_saturation_high,60,60.0
K-Means+Centroids_saturation_medium,56,56.0
K-Means+Centroids_saturation_low,100,
K-Means+Random,51,51.0
K-Means+LHS,100,
K-Means+Farthest,43,42.0
K-Means+ODAL,57,57.0
K-Means+K-Center,42,42.0
Farthest+Top5Similarity,100,97.0
Farthest+Max Comp,100,58.0
Farthest+Min Comp,37,37.0
Farthest+Centroids_saturation_high,61,61.0
Farthest+Centroids_saturation_medium,63,63.0
Farthest+Centroids_saturation_low,55,55.0
Farthest+Random,64,64.0
Farthest+LHS,69,69.0
Farthest+K-Means,43,42.0
Farthest+ODAL,100,83.0
Farthest+K-Center,100,71.0
ODAL+Top5Similarity,74,74.0
ODAL+Max Comp,38,38.0
ODAL+Min Comp,100,81.0
ODAL+Centroids_saturation_high,82,82.0
ODAL+Centroids_saturation_medium,90,90.0
ODAL+Centroids_saturation_low,94,94.0
ODAL+Random,75,75.0
ODAL+LHS,100,96.0
ODAL+K-Means,57,57.0
ODAL+Farthest,70,70.0
ODAL+K-Center,100,81.0
K-Center+Top5Similarity,45,45.0
K-Center+Max Comp,60,48.0
K-Center+Min Comp,40,40.0
K-Center+Centroids_saturation_high,54,54.0
K-Center+Centroids_saturation_medium,63,63.0
K-Center+Centroids_saturation_low,62,62.0
K-Center+Random,100,42.0
K-Center+LHS,100,97.0
K-Center+K-Means,42,42.0
K-Center+Farthest,100,71.0
K-Center+ODAL,100,81.0
