Strategy,StoppingIteration,GradientStableIteration
Top5Similarity,100,
Max Comp,75,43.0
Min Comp,75,30.0
Centroids_saturation_high,80,72.0
Centroids_saturation_medium,100,
Centroids_saturation_low,83,44.0
Random,100,46.0
LHS,83,43.0
K-Means,100,
Farthest,100,32.0
ODAL,100,
K-Center,79,30.0
Top5Similarity+Max Comp,100,
Top5Similarity+Min Comp,75,34.0
Top5Similarity+Centroids_saturation_high,100,
Top5Similarity+Centroids_saturation_medium,100,
Top5Similarity+Centroids_saturation_low,100,
Top5Similarity+Random,64,46.0
Top5Similarity+LHS,77,53.0
Top5Similarity+K-Means,76,55.0
Top5Similarity+Farthest,65,42.0
Top5Similarity+ODAL,100,
Top5Similarity+K-Center,53,37.0
Max Comp+Top5Similarity,100,
Max Comp+Min Comp,72,30.0
Max Comp+Centroids_saturation_high,71,51.0
Max Comp+Centroids_saturation_medium,77,54.0
Max Comp+Centroids_saturation_low,66,62.0
Max Comp+Random,71,48.0
Max Comp+LHS,76,43.0
Max Comp+K-Means,84,37.0
Max Comp+Farthest,100,47.0
Max Comp+ODAL,70,33.0
Max Comp+K-Center,73,37.0
Min Comp+Top5Similarity,75,34.0
Min Comp+Max Comp,72,30.0
Min Comp+Centroids_saturation_high,70,38.0
Min Comp+Centroids_saturation_medium,79,39.0
Min Comp+Centroids_saturation_low,72,38.0
Min Comp+Random,75,38.0
Min Comp+LHS,71,38.0
Min Comp+K-Means,68,37.0
Min Comp+Farthest,68,35.0
Min Comp+ODAL,69,30.0
Min Comp+K-Center,67,33.0
Centroids_saturation_high+Top5Similarity,100,
Centroids_saturation_high+Max Comp,71,51.0
Centroids_saturation_high+Min Comp,70,38.0
Centroids_saturation_high+Centroids_saturation_medium,59,59.0
Centroids_saturation_high+Centroids_saturation_low,69,53.0
Centroids_saturation_high+Random,69,42.0
Centroids_saturation_high+LHS,56,56.0
Centroids_saturation_high+K-Means,77,50.0
Centroids_saturation_high+Farthest,75,42.0
Centroids_saturation_high+ODAL,72,40.0
Centroids_saturation_high+K-Center,82,40.0
Centroids_saturation_medium+Top5Similarity,100,
Centroids_saturation_medium+Max Comp,77,54.0
Centroids_saturation_medium+Min Comp,79,39.0
Centroids_saturation_medium+Centroids_saturation_high,59,59.0
Centroids_saturation_medium+Centroids_saturation_low,80,53.0
Centroids_saturation_medium+Random,100,61.0
Centroids_saturation_medium+LHS,82,54.0
Centroids_saturation_medium+K-Means,75,50.0
Centroids_saturation_medium+Farthest,68,43.0
Centroids_saturation_medium+ODAL,73,37.0
Centroids_saturation_medium+K-Center,68,42.0
Centroids_saturation_low+Top5Similarity,100,
Centroids_saturation_low+Max Comp,66,62.0
Centroids_saturation_low+Min Comp,72,38.0
Centroids_saturation_low+Centroids_saturation_high,69,53.0
Centroids_saturation_low+Centroids_saturation_medium,80,53.0
Centroids_saturation_low+Random,88,41.0
Centroids_saturation_low+LHS,75,54.0
Centroids_saturation_low+K-Means,73,49.0
Centroids_saturation_low+Farthest,69,43.0
Centroids_saturation_low+ODAL,67,40.0
Centroids_saturation_low+K-Center,72,39.0
Random+Top5Similarity,64,46.0
Random+Max Comp,71,47.0
Random+Min Comp,75,38.0
Random+Centroids_saturation_high,69,42.0
Random+Centroids_saturation_medium,100,61.0
Random+Centroids_saturation_low,88,41.0
Random+LHS,73,44.0
Random+K-Means,64,45.0
Random+Farthest,78,41.0
Random+ODAL,67,34.0
Random+K-Center,67,37.0
LHS+Top5Similarity,77,53.0
LHS+Max Comp,76,43.0
LHS+Min Comp,71,38.0
LHS+Centroids_saturation_high,56,56.0
LHS+Centroids_saturation_medium,82,54.0
LHS+Centroids_saturation_low,75,54.0
LHS+Random,73,44.0
LHS+K-Means,84,59.0
LHS+Farthest,80,43.0
LHS+ODAL,100,
LHS+K-Center,82,37.0
K-Means+Top5Similarity,76,55.0
K-Means+Max Comp,84,37.0
K-Means+Min Comp,68,37.0
K-Means+Centroids_saturation_high,77,50.0
K-Means+Centroids_saturation_medium,75,50.0
K-Means+Centroids_saturation_low,73,49.0
K-Means+Random,64,45.0
K-Means+LHS,84,59.0
K-Means+Farthest,69,43.0
K-Means+ODAL,72,43.0
K-Means+K-Center,75,39.0
Farthest+Top5Similarity,65,42.0
Farthest+Max Comp,100,47.0
Farthest+Min Comp,68,35.0
Farthest+Centroids_saturation_high,75,42.0
Farthest+Centroids_saturation_medium,68,43.0
Farthest+Centroids_saturation_low,69,43.0
Farthest+Random,78,41.0
Farthest+LHS,80,43.0
Farthest+K-Means,69,43.0
Farthest+ODAL,69,34.0
Farthest+K-Center,67,38.0
ODAL+Top5Similarity,100,
ODAL+Max Comp,70,33.0
ODAL+Min Comp,69,30.0
ODAL+Centroids_saturation_high,72,40.0
ODAL+Centroids_saturation_medium,73,37.0
ODAL+Centroids_saturation_low,67,40.0
ODAL+Random,67,34.0
ODAL+LHS,100,
ODAL+K-Means,72,43.0
ODAL+Farthest,69,34.0
ODAL+K-Center,73,33.0
K-Center+Top5Similarity,53,37.0
K-Center+Max Comp,73,37.0
K-Center+Min Comp,67,33.0
K-Center+Centroids_saturation_high,82,40.0
K-Center+Centroids_saturation_medium,68,42.0
K-Center+Centroids_saturation_low,72,39.0
K-Center+Random,67,37.0
K-Center+LHS,84,37.0
K-Center+K-Means,75,39.0
K-Center+Farthest,67,38.0
K-Center+ODAL,73,33.0
