Strategy,StoppingIteration,GradientStableIteration
Top5Similarity,100,97.0
Max Comp,100,32.0
Min Comp,37,30.0
Centroids_saturation_high,100,
Centroids_saturation_medium,100,
Centroids_saturation_low,100,
Random,100,43.0
LHS,62,62.0
K-Means,100,
Farthest,100,34.0
ODAL,100,
K-Center,44,44.0
Top5Similarity+Max Comp,35,35.0
Top5Similarity+Min Comp,33,33.0
Top5Similarity+Centroids_saturation_high,73,73.0
Top5Similarity+Centroids_saturation_medium,71,71.0
Top5Similarity+Centroids_saturation_low,58,58.0
Top5Similarity+Random,91,91.0
Top5Similarity+LHS,78,78.0
Top5Similarity+K-Means,52,52.0
Top5Similarity+Farthest,100,71.0
Top5Similarity+ODAL,74,74.0
Top5Similarity+K-Center,44,44.0
Max Comp+Top5Similarity,35,35.0
Max Comp+Min Comp,40,30.0
Max Comp+Centroids_saturation_high,84,64.0
Max Comp+Centroids_saturation_medium,100,82.0
Max Comp+Centroids_saturation_low,100,
Max Comp+Random,100,62.0
Max Comp+LHS,48,48.0
Max Comp+K-Means,42,42.0
Max Comp+Farthest,50,50.0
Max Comp+ODAL,38,38.0
Max Comp+K-Center,53,53.0
Min Comp+Top5Similarity,33,33.0
Min Comp+Max Comp,40,30.0
Min Comp+Centroids_saturation_high,46,46.0
Min Comp+Centroids_saturation_medium,46,46.0
Min Comp+Centroids_saturation_low,100,
Min Comp+Random,42,42.0
Min Comp+LHS,41,41.0
Min Comp+K-Means,50,50.0
Min Comp+Farthest,37,37.0
Min Comp+ODAL,100,81.0
Min Comp+K-Center,37,35.0
Centroids_saturation_high+Top5Similarity,73,73.0
Centroids_saturation_high+Max Comp,84,64.0
Centroids_saturation_high+Min Comp,46,46.0
Centroids_saturation_high+Centroids_saturation_medium,100,
Centroids_saturation_high+Centroids_saturation_low,100,
Centroids_saturation_high+Random,62,62.0
Centroids_saturation_high+LHS,78,78.0
Centroids_saturation_high+K-Means,60,60.0
Centroids_saturation_high+Farthest,53,53.0
Centroids_saturation_high+ODAL,82,82.0
Centroids_saturation_high+K-Center,50,50.0
Centroids_saturation_medium+Top5Similarity,71,71.0
Centroids_saturation_medium+Max Comp,100,82.0
Centroids_saturation_medium+Min Comp,46,46.0
Centroids_saturation_medium+Centroids_saturation_high,100,
Centroids_saturation_medium+Centroids_saturation_low,100,
Centroids_saturation_medium+Random,69,69.0
Centroids_saturation_medium+LHS,90,90.0
Centroids_saturation_medium+K-Means,56,56.0
Centroids_saturation_medium+Farthest,53,53.0
Centroids_saturation_medium+ODAL,90,90.0
Centroids_saturation_medium+K-Center,52,52.0
Centroids_saturation_low+Top5Similarity,58,58.0
Centroids_saturation_low+Max Comp,100,
Centroids_saturation_low+Min Comp,100,
Centroids_saturation_low+Centroids_saturation_high,100,
Centroids_saturation_low+Centroids_saturation_medium,100,
Centroids_saturation_low+Random,100,60.0
Centroids_saturation_low+LHS,81,81.0
Centroids_saturation_low+K-Means,100,
Centroids_saturation_low+Farthest,57,57.0
Centroids_saturation_low+ODAL,94,94.0
Centroids_saturation_low+K-Center,47,47.0
Random+Top5Similarity,69,69.0
Random+Max Comp,100,62.0
Random+Min Comp,42,42.0
Random+Centroids_saturation_high,62,62.0
Random+Centroids_saturation_medium,69,69.0
Random+Centroids_saturation_low,100,60.0
Random+LHS,56,56.0
Random+K-Means,48,48.0
Random+Farthest,100,68.0
Random+ODAL,56,56.0
Random+K-Center,52,52.0
LHS+Top5Similarity,78,78.0
LHS+Max Comp,48,48.0
LHS+Min Comp,41,41.0
LHS+Centroids_saturation_high,78,78.0
LHS+Centroids_saturation_medium,90,90.0
LHS+Centroids_saturation_low,81,81.0
LHS+Random,56,56.0
LHS+K-Means,45,45.0
LHS+Farthest,41,41.0
LHS+ODAL,59,59.0
LHS+K-Center,40,40.0
K-Means+Top5Similarity,52,52.0
K-Means+Max Comp,42,42.0
K-Means+Min Comp,50,50.0
K-Means+Centroids_saturation_high,60,60.0
K-Means+Centroids_saturation_medium,56,56.0
K-Means+Centroids_saturation_low,100,
K-Means+Random,50,50.0
K-Means+LHS,45,45.0
K-Means+Farthest,38,38.0
K-Means+ODAL,57,57.0
K-Means+K-Center,48,48.0
Farthest+Top5Similarity,100,71.0
Farthest+Max Comp,54,54.0
Farthest+Min Comp,37,37.0
Farthest+Centroids_saturation_high,53,53.0
Farthest+Centroids_saturation_medium,53,53.0
Farthest+Centroids_saturation_low,57,57.0
Farthest+Random,100,68.0
Farthest+LHS,41,41.0
Farthest+K-Means,38,38.0
Farthest+ODAL,100,82.0
Farthest+K-Center,100,57.0
ODAL+Top5Similarity,74,74.0
ODAL+Max Comp,38,38.0
ODAL+Min Comp,100,81.0
ODAL+Centroids_saturation_high,82,82.0
ODAL+Centroids_saturation_medium,90,90.0
ODAL+Centroids_saturation_low,94,94.0
ODAL+Random,56,56.0
ODAL+LHS,59,59.0
ODAL+K-Means,57,57.0
ODAL+Farthest,100,82.0
ODAL+K-Center,100,52.0
K-Center+Top5Similarity,44,44.0
K-Center+Max Comp,53,53.0
K-Center+Min Comp,37,35.0
K-Center+Centroids_saturation_high,50,50.0
K-Center+Centroids_saturation_medium,52,52.0
K-Center+Centroids_saturation_low,47,47.0
K-Center+Random,52,52.0
K-Center+LHS,40,40.0
K-Center+K-Means,48,48.0
K-Center+Farthest,100,57.0
K-Center+ODAL,100,52.0
